HospitalCode,OverallRating,Mortality,PatientExperience,Readmission,TimelinessOfCare,EffectivenessOfCare
50502,4,1,-1,-1,0,0
50503,4,0,0,1,-1,0
50506,3,0,-1,-1,0,0
50510,NULL,NULL,1,NULL,NULL,NULL
50512,NULL,NULL,0,NULL,NULL,NULL
50515,4,NULL,1,1,NULL,0
50516,2,-1,-1,1,-1,0
50517,1,0,-1,0,-1,-1
50523,3,0,-1,-1,-1,0
50526,3,0,-1,-1,0,0
50528,3,0,0,0,0,0
50534,3,0,-1,1,0,0
50537,5,0,1,1,0,0
50541,4,NULL,1,NULL,NULL,0
50543,NULL,NULL,NULL,NULL,NULL,NULL
50546,NULL,NULL,NULL,NULL,NULL,NULL
50547,NULL,NULL,NULL,NULL,NULL,NULL
50548,NULL,NULL,NULL,NULL,NULL,NULL
50549,3,0,-1,0,0,0
50551,3,0,-1,1,-1,0
50557,4,0,-1,1,-1,0
50561,2,NULL,-1,NULL,NULL,0
50567,4,0,1,1,-1,0
50568,1,0,-1,-1,-1,-1
50570,3,1,-1,-1,0,0
50573,4,0,0,1,-1,-1
50580,3,1,-1,0,0,0
50581,2,0,-1,-1,-1,0
50586,4,0,-1,1,1,0
50588,2,0,-1,-1,1,0
50589,3,0,-1,0,1,0
50590,3,0,-1,1,-1,0
50597,3,0,0,-1,-1,0
50603,4,0,-1,1,-1,0
50604,4,0,-1,1,NULL,0
50608,2,0,-1,0,0,0
50609,4,NULL,1,NULL,NULL,0
50616,3,0,0,-1,0,0
50624,3,1,0,-1,-1,0
50625,5,1,1,-1,-1,0
50633,1,-1,-1,-1,0,0
50636,4,0,0,1,-1,0
50641,2,0,-1,0,0,-1
50663,2,1,-1,-1,-1,-1
50668,NULL,NULL,NULL,NULL,NULL,NULL
50674,3,0,0,0,NULL,0
50677,3,NULL,0,NULL,NULL,0
50678,3,0,-1,-1,-1,0
50684,1,0,-1,0,-1,0
50686,4,NULL,0,NULL,NULL,0
50688,3,0,0,0,0,0
50689,3,0,0,1,1,0
50690,4,NULL,1,NULL,NULL,0
50696,3,0,1,-1,NULL,0
50697,NULL,NULL,NULL,NULL,NULL,NULL
50701,2,0,-1,-1,-1,0
50704,4,1,-1,1,-1,0
50708,NULL,NULL,1,NULL,NULL,NULL
50709,3,1,-1,-1,-1,0
50710,3,NULL,0,NULL,NULL,0
50714,NULL,NULL,1,NULL,NULL,0
50717,NULL,NULL,0,NULL,NULL,NULL
50723,4,NULL,1,NULL,NULL,0
50724,3,0,0,1,-1,0
50726,NULL,NULL,1,NULL,NULL,1
50735,3,0,-1,-1,0,0
50736,2,0,-1,-1,1,0
50737,4,1,0,-1,0,0
50738,2,NULL,-1,1,0,0
50739,4,1,-1,-1,-1,0
50740,3,0,-1,-1,0,0
50742,2,1,-1,-1,-1,0
50744,2,NULL,-1,NULL,-1,0
50745,2,NULL,-1,0,0,0
50746,2,0,-1,-1,0,0
50747,2,NULL,-1,0,0,0
50748,4,NULL,0,NULL,NULL,0
50751,NULL,NULL,NULL,NULL,NULL,NULL
50754,NULL,NULL,1,NULL,NULL,NULL
50755,3,1,-1,-1,1,0
50757,5,1,-1,1,1,0
50758,3,NULL,-1,0,0,0
50760,3,NULL,0,NULL,NULL,0
50761,5,1,-1,-1,0,0
50763,5,1,NULL,-1,NULL,NULL
50764,3,-1,-1,1,-1,0
50765,3,NULL,0,NULL,NULL,0
50766,NULL,NULL,1,NULL,NULL,NULL
50767,4,NULL,0,NULL,NULL,0
50769,NULL,NULL,1,NULL,NULL,NULL
50770,2,0,-1,-1,-1,0
50771,3,0,-1,1,-1,0
50772,2,NULL,0,NULL,NULL,0
50773,1,0,-1,-1,-1,0
50775,5,0,0,0,-1,0
50776,2,0,-1,-1,-1,0
50777,3,NULL,-1,NULL,NULL,0
50778,3,NULL,0,NULL,NULL,0
50779,3,0,1,-1,-1,0
50780,NULL,NULL,-1,NULL,0,NULL
50781,NULL,NULL,NULL,NULL,NULL,NULL
50782,5,NULL,1,1,NULL,0
50783,NULL,NULL,NULL,NULL,0,NULL
50784,NULL,NULL,NULL,NULL,NULL,NULL
51300,NULL,NULL,NULL,NULL,NULL,NULL
51301,NULL,NULL,NULL,NULL,0,NULL
51302,NULL,NULL,NULL,NULL,NULL,NULL
51303,NULL,NULL,1,NULL,0,NULL
51304,3,NULL,NULL,0,0,0
51305,NULL,0,NULL,1,NULL,NULL
51306,NULL,NULL,NULL,0,0,NULL
51307,NULL,NULL,NULL,NULL,NULL,NULL
51308,NULL,NULL,NULL,NULL,NULL,NULL
51309,NULL,NULL,NULL,NULL,NULL,NULL
51310,5,0,1,1,NULL,NULL
51311,3,0,NULL,0,0,NULL
51312,NULL,NULL,NULL,NULL,NULL,NULL
51314,3,NULL,NULL,0,-1,NULL
51315,NULL,NULL,NULL,0,NULL,NULL
51316,2,-1,0,1,0,0
51317,4,0,0,1,NULL,NULL
51318,4,0,0,1,-1,0
51319,4,0,1,1,0,0
51320,4,0,0,0,0,0
51321,4,0,0,0,NULL,NULL
51323,NULL,NULL,NULL,NULL,0,NULL
51324,3,0,0,0,0,0
51325,3,0,0,0,NULL,NULL
51326,NULL,0,NULL,0,NULL,NULL
51327,NULL,NULL,NULL,NULL,NULL,NULL
51328,4,0,1,0,0,0
51329,4,0,1,0,0,0
51330,NULL,NULL,NULL,NULL,NULL,NULL
51331,NULL,NULL,NULL,NULL,1,0
51332,3,0,0,1,0,0
51333,NULL,NULL,NULL,NULL,NULL,NULL
51334,NULL,NULL,1,NULL,0,0
51335,NULL,NULL,NULL,NULL,NULL,NULL
53300,NULL,NULL,NULL,NULL,NULL,NULL
53301,NULL,NULL,NULL,NULL,NULL,NULL
53302,NULL,NULL,NULL,NULL,NULL,NULL
53303,NULL,NULL,NULL,NULL,NULL,NULL
53304,NULL,NULL,NULL,NULL,NULL,NULL
53305,NULL,NULL,NULL,NULL,NULL,NULL
53306,NULL,NULL,NULL,NULL,NULL,NULL
53308,NULL,NULL,NULL,NULL,NULL,NULL
53309,NULL,NULL,NULL,NULL,NULL,NULL
53310,NULL,NULL,NULL,NULL,NULL,NULL
53311,NULL,NULL,NULL,NULL,NULL,NULL
54009,NULL,NULL,NULL,NULL,NULL,NULL
54028,NULL,NULL,NULL,NULL,NULL,NULL
54032,NULL,NULL,NULL,NULL,NULL,NULL
54053,NULL,NULL,NULL,NULL,NULL,NULL
54055,NULL,NULL,NULL,NULL,NULL,NULL
54069,NULL,NULL,NULL,NULL,NULL,NULL
54074,NULL,NULL,NULL,NULL,NULL,NULL
54075,NULL,NULL,NULL,NULL,NULL,NULL
54077,NULL,NULL,NULL,NULL,NULL,NULL
54078,NULL,NULL,NULL,NULL,NULL,NULL
54087,NULL,NULL,NULL,NULL,NULL,NULL
54089,NULL,NULL,NULL,NULL,NULL,NULL
54093,NULL,NULL,NULL,NULL,NULL,NULL
54095,NULL,NULL,NULL,NULL,NULL,NULL
54096,NULL,NULL,NULL,NULL,NULL,NULL
54104,NULL,NULL,NULL,NULL,NULL,NULL
54110,NULL,NULL,NULL,NULL,NULL,NULL
54111,NULL,NULL,NULL,NULL,NULL,NULL
54122,NULL,NULL,NULL,NULL,NULL,NULL
54123,NULL,NULL,NULL,NULL,NULL,NULL
54124,NULL,NULL,NULL,NULL,NULL,NULL
54125,NULL,NULL,NULL,NULL,NULL,NULL
54130,NULL,NULL,NULL,NULL,NULL,NULL
54131,NULL,NULL,NULL,NULL,NULL,NULL
54133,NULL,NULL,NULL,NULL,NULL,NULL
54135,NULL,NULL,NULL,NULL,NULL,NULL
54144,NULL,NULL,NULL,NULL,NULL,NULL
54145,NULL,NULL,NULL,NULL,NULL,NULL
54146,NULL,NULL,NULL,NULL,NULL,NULL
54147,NULL,NULL,NULL,NULL,NULL,NULL
54148,NULL,NULL,NULL,NULL,NULL,NULL
54149,NULL,NULL,NULL,NULL,NULL,NULL
54150,NULL,NULL,NULL,NULL,NULL,NULL
54151,NULL,NULL,NULL,NULL,NULL,NULL
54152,NULL,NULL,NULL,NULL,NULL,NULL
54153,NULL,NULL,NULL,NULL,NULL,NULL
54154,NULL,NULL,NULL,NULL,NULL,NULL
54155,NULL,NULL,NULL,NULL,NULL,NULL
60001,4,0,0,1,0,1
60003,3,0,0,1,1,0
60004,4,0,1,1,0,0
60006,5,0,1,1,0,0
60008,4,0,0,1,0,0
60009,4,0,1,1,1,0
60010,5,0,1,1,1,0
60011,3,0,-1,1,0,0
60012,3,0,0,1,0,0
60013,5,0,1,1,0,0
60014,3,0,1,0,1,0
60015,3,-1,0,1,0,0
60020,3,0,-1,1,-1,0
60022,4,0,0,1,0,0
60023,3,-1,1,1,0,0
60024,4,1,1,1,-1,0
60027,3,1,0,1,1,0
60028,4,0,1,1,0,0
60030,3,0,0,1,0,0
60031,5,0,0,1,0,0
60032,5,0,1,1,1,0
60034,4,0,1,0,1,0
60044,3,0,0,0,1,0
60049,4,NULL,1,1,1,0
60054,5,0,0,1,0,0
60064,4,0,0,1,0,0
60065,3,0,-1,1,1,0
60071,4,0,0,1,1,0
